setoran_id,santri_id,tanggal,jenis,surah,juz,jumlah_ayat,kualitas,musyrif
ST00001,S001,2025-02-27,Ziyadah,Al-Fatihah,1,4,Lancar,Ust. Ridwan
ST00002,S001,2025-03-05,Ziyadah,Al-Fatihah,1,2,Perlu Diulang,Ust. Ridwan
ST00003,S001,2025-03-10,Murajaah,Al-Fatihah,1,10,Perlu Diulang,Ust. Ridwan
ST00004,S001,2025-03-11,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Ridwan
ST00005,S001,2025-03-13,Murajaah,Al-Baqarah,1,12,Lancar,Ust. Ridwan
ST00006,S001,2025-03-16,Murajaah,Al-Fatihah,1,15,Lancar,Ust. Ridwan
ST00007,S001,2025-03-18,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Ridwan
ST00008,S001,2025-03-22,Murajaah,Al-Fatihah,1,8,Lancar,Ust. Ridwan
ST00009,S001,2025-03-24,Ziyadah,Al-Baqarah,1,1,Kurang Lancar,Ust. Ridwan
ST00010,S001,2025-03-25,Ziyadah,Al-Baqarah,1,5,Kurang Lancar,Ust. Ridwan
ST00011,S001,2025-03-30,Murajaah,Al-Fatihah,1,14,Perlu Diulang,Ust. Ridwan
ST00012,S001,2025-03-31,Ziyadah,Al-Baqarah,1,1,Kurang Lancar,Ust. Ridwan
ST00013,S001,2025-04-01,Ziyadah,Al-Baqarah,1,2,Kurang Lancar,Ust. Ridwan
ST00014,S001,2025-04-02,Murajaah,Al-Baqarah,1,13,Lancar,Ust. Ridwan
ST00015,S001,2025-04-06,Murajaah,Al-Fatihah,1,13,Lancar,Ust. Ridwan
ST00016,S001,2025-04-09,Murajaah,Al-Baqarah,1,18,Lancar,Ust. Ridwan
ST00017,S001,2025-04-10,Murajaah,Al-Baqarah,1,9,Lancar,Ust. Ridwan
ST00018,S001,2025-04-12,Murajaah,Al-Fatihah,1,18,Lancar,Ust. Ridwan
ST00019,S001,2025-04-13,Murajaah,Al-Baqarah,1,6,Lancar,Ust. Ridwan
ST00020,S001,2025-04-14,Ziyadah,Al-Baqarah,1,5,Kurang Lancar,Ust. Ridwan
ST00021,S001,2025-04-15,Murajaah,Al-Baqarah,1,9,Kurang Lancar,Ust. Ridwan
ST00022,S001,2025-04-20,Murajaah,Al-Baqarah,1,15,Perlu Diulang,Ust. Ridwan
ST00023,S001,2025-04-24,Murajaah,Al-Baqarah,1,8,Kurang Lancar,Ust. Ridwan
ST00024,S001,2025-04-27,Murajaah,Al-Baqarah,1,19,Lancar,Ust. Ridwan
ST00025,S001,2025-04-29,Ziyadah,Al-Baqarah,1,2,Lancar,Ust. Ridwan
ST00026,S001,2025-04-30,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Ridwan
ST00027,S001,2025-05-05,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Ridwan
ST00028,S001,2025-05-07,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Ridwan
ST00029,S001,2025-05-10,Murajaah,Al-Baqarah,1,8,Kurang Lancar,Ust. Ridwan
ST00030,S001,2025-05-11,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Ridwan
ST00031,S001,2025-05-18,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Ridwan
ST00032,S001,2025-05-20,Murajaah,Al-Baqarah,1,14,Lancar,Ust. Ridwan
ST00033,S001,2025-05-21,Ziyadah,Al-Baqarah,1,2,Lancar,Ust. Ridwan
ST00034,S001,2025-05-24,Murajaah,Al-Baqarah,1,10,Lancar,Ust. Ridwan
ST00035,S001,2025-05-25,Murajaah,Al-Baqarah,1,14,Lancar,Ust. Ridwan
ST00036,S001,2025-05-28,Murajaah,Al-Baqarah,1,11,Lancar,Ust. Ridwan
ST00037,S001,2025-06-01,Ziyadah,Al-Baqarah,1,5,Kurang Lancar,Ust. Ridwan
ST00038,S001,2025-06-03,Murajaah,Al-Baqarah,1,12,Lancar,Ust. Ridwan
ST00039,S001,2025-06-05,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Ridwan
ST00040,S001,2025-06-08,Murajaah,Al-Baqarah,1,11,Kurang Lancar,Ust. Ridwan
ST00041,S001,2025-06-10,Murajaah,Al-Baqarah,1,5,Kurang Lancar,Ust. Ridwan
ST00042,S001,2025-06-12,Murajaah,Al-Baqarah,1,10,Perlu Diulang,Ust. Ridwan
ST00043,S001,2025-06-15,Ziyadah,Al-Baqarah,1,1,Lancar,Ust. Ridwan
ST00044,S001,2025-07-01,Ziyadah,Al-Baqarah,1,2,Kurang Lancar,Ust. Ridwan
ST00045,S001,2025-07-02,Murajaah,Al-Baqarah,1,20,Lancar,Ust. Ridwan
ST00046,S001,2025-07-03,Murajaah,Al-Baqarah,1,12,Lancar,Ust. Ridwan
ST00047,S001,2025-07-06,Ziyadah,Al-Baqarah,1,4,Kurang Lancar,Ust. Ridwan
ST00048,S001,2025-07-08,Murajaah,Al-Baqarah,1,19,Lancar,Ust. Ridwan
ST00049,S001,2025-07-10,Murajaah,Al-Baqarah,1,5,Lancar,Ust. Ridwan
ST00050,S001,2025-07-13,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Ridwan
ST00051,S001,2025-07-17,Ziyadah,Al-Baqarah,1,4,Lancar,Ust. Ridwan
ST00052,S001,2025-07-19,Murajaah,Al-Baqarah,1,17,Kurang Lancar,Ust. Ridwan
ST00053,S001,2025-07-27,Murajaah,Al-Baqarah,1,19,Lancar,Ust. Ridwan
ST00054,S001,2025-07-28,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Ridwan
ST00055,S001,2025-07-30,Murajaah,Al-Baqarah,1,18,Kurang Lancar,Ust. Ridwan
ST00056,S001,2025-07-31,Murajaah,Al-Baqarah,1,6,Lancar,Ust. Ridwan
ST00057,S001,2025-08-02,Murajaah,Al-Fatihah,1,6,Perlu Diulang,Ust. Ridwan
ST00058,S001,2025-08-03,Ziyadah,Al-Baqarah,1,2,Lancar,Ust. Ridwan
ST00059,S001,2025-08-04,Ziyadah,Al-Baqarah,1,2,Lancar,Ust. Ridwan
ST00060,S001,2025-08-05,Ziyadah,Al-Baqarah,1,5,Lancar,Ust. Ridwan
ST00061,S001,2025-08-07,Murajaah,Al-Baqarah,1,14,Lancar,Ust. Ridwan
ST00062,S001,2025-08-12,Murajaah,Al-Baqarah,1,11,Lancar,Ust. Ridwan
ST00063,S001,2025-08-14,Murajaah,Al-Baqarah,1,14,Kurang Lancar,Ust. Ridwan
ST00064,S001,2025-08-18,Murajaah,Al-Baqarah,1,16,Lancar,Ust. Ridwan
ST00065,S001,2025-08-19,Murajaah,Al-Baqarah,1,20,Lancar,Ust. Ridwan
ST00066,S001,2025-08-20,Murajaah,Al-Baqarah,1,19,Lancar,Ust. Ridwan
ST00067,S001,2025-08-24,Murajaah,Al-Baqarah,1,20,Lancar,Ust. Ridwan
ST00068,S001,2025-08-26,Murajaah,Al-Baqarah,1,7,Kurang Lancar,Ust. Ridwan
ST00069,S001,2025-08-27,Murajaah,Al-Baqarah,1,17,Lancar,Ust. Ridwan
ST00070,S001,2025-08-30,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Ridwan
ST00071,S001,2025-09-02,Ziyadah,Al-Baqarah,1,2,Lancar,Ust. Ridwan
ST00072,S001,2025-09-04,Murajaah,Al-Baqarah,1,20,Kurang Lancar,Ust. Ridwan
ST00073,S001,2025-09-06,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Ridwan
ST00074,S001,2025-09-08,Murajaah,Al-Baqarah,1,20,Lancar,Ust. Ridwan
ST00075,S001,2025-09-09,Murajaah,Al-Baqarah,1,15,Kurang Lancar,Ust. Ridwan
ST00076,S001,2025-09-10,Ziyadah,Al-Baqarah,1,1,Kurang Lancar,Ust. Ridwan
ST00077,S001,2025-09-11,Murajaah,Al-Baqarah,1,10,Lancar,Ust. Ridwan
ST00078,S001,2025-09-13,Murajaah,Al-Baqarah,1,14,Kurang Lancar,Ust. Ridwan
ST00079,S001,2025-09-14,Ziyadah,Al-Baqarah,1,3,Lancar,Ust. Ridwan
ST00080,S002,2025-01-13,Murajaah,Al-Fatihah,1,20,Kurang Lancar,Ust. Hafiz
ST00081,S002,2025-01-15,Murajaah,Al-Fatihah,1,10,Lancar,Ust. Hafiz
ST00082,S002,2025-01-18,Ziyadah,Al-Fatihah,1,4,Lancar,Ust. Hafiz
ST00083,S002,2025-01-20,Ziyadah,Al-Baqarah,1,5,Perlu Diulang,Ust. Hafiz
